1,The entire audience applauded at the conclusion of the film.  
1,I left the theater with a lilt in my step joy in my heart and hope for the human race.  
1,Duris has a wholesome appearance and gives a fine performance.  
1,The rest of the cast also play well.  
1,Cinematography noteworthy including fine views of Barcelona and its famed Gaudi towers.  
0,About ten minutes into this film I started having second thoughts.  
0,About half way through this film I started to dislike it.  
0,By the time the film ended I not only disliked it I despised it.  
0,What this film lacks is a convincing script.  
0,The script looks as if only a rough draft was written and shooting began before a finished script was completed.  
0,Things happen characters personalities change plot twists occur for no real reason other than that script calls for it.  
1,The cast is good.  
1,For that it's worth checking out.  
0,This is probably the most irritating show I have ever seen in my entire life.  
0,It is indescribably the most annoying and idiotic show I have ever seen.  
0,Everything about it is just bad.  
0,I could not understand what kind of idiot would produce this mess in the first place not to mention several season.  
0,The script is bad very bad  it contains both cheesiness and unethical joke that you normally see in rated R or NC-17 movie.  
0,The casting is also horrible cause all you see is a really really BAD Actors period.  
0,Final Word: This Show is a real torture!!  
0,It is zillion times away from reality.  
0,Watching washing machine twirling around wouldn't hurt your eyes as much as this show.  
0,Rating: 0/10 (Grade: Z) Note: The Show Is So Bad That Even Mother Of The Cast Pull Her Daughter Out Of The Show.  
0,20th Century Fox's ROAD HOUSE 1948) is not only quite a silly noir but is an implausible unmitigated bore of a movie.  
0,Full of unconvincing cardboard characters it is blandly written by Edward Chodorov who also produced and is surprisingly directed by Jean Negulesco from whom one would expect a great deal more.  
0,From here on the Widmark character turns unintentionally comical!  
0,His losing his marbles so early in the proceedings is totally implausible and unconvincing.  
0,And if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.  
0,Whatever prompted such a documentary is beyond me!  
0,(very serious spoilers) this movie was a huge disappointment.  
0,there are so many problems i dont know where to start.  
1,the cast was great.  
1,steve martin delivers a really funny performance of a middle-aged upper class uptight white guy.  
1,add betty white and jean smart and you have a great cast - everyone played their parts really well.  
0,but the movie makes a lot of serious mistakes.  
0,first of all there are enough racial stereotypes and racial jokes to offend everyone.  
0,the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.  
0,putting the race card aside lets look at the major flaw in the film: they destroy latifa's character.  
0,there is no real plot.  
0,i wouldnt see this movie again for free.  
1,STEAMBOAT WILLIE is an amazingly important film to our cinema history.  
1,This second appearance of Mickey Mouse (following the silent PLANE CRAZY earlier that year) is probably his most famous film--mostly because it was so ground-breaking.  
1,While you don't yet hear Mickey speak there are tons of sound effects and music throughout the film--something we take for granted now but which was a huge crowd pleaser in 1928.  
1,However after seeing the short again after about 25 years I was amazed at how timeless the film actually is.  
1,"It's just adorable seeing Mickey playing ""Turkey in the Straw"" in a highly imaginative (if occasionally cruel) way.  "
1,Clever and a real crowd-pleaser--this film still ranks among Mickey's best films even after 80 wonderful years.  
0,The bipolarity of the ruthless thug (one minute a ruthless killer the next minute a Luv's diaper commercial) is completely unconvincing.  
0,I'm terribly disappointed that this film would receive so many awards and accolades especially when there are far more deserving works of film out there.  
1,The original Body and Soul (1947) is a masterpiece.  
1,John Garfield Ann revere Lilli Plmer William Conrad Canada Lee...and filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe.  
0,I don't think there are any redeeming qualities in this remake.  
0,This may be the only bad film he ever made.  
0,So bad...well...it's just bad.  
0,This movie is a solid example of a bad plot and a very very bad idea all the way.  
0,It's a shame to see good actors like Thomerson and James make a living in a mess like this.  
0,I thought it was bad.  
0,Both films are terrible but to the credit of the 1986 version it was watchable.  
0,Let's start with all the problemsthe acting especially from the lead professor was very very bad.  
0,The script is a big flawed mess.  
0,The best example of how dumb the writing is when it's established that you can turn the zombie-students back into humans by removing a necklace containing a piece of the meteorite.  
0,"Director Paul Matthews who also wrote/directed the weak 1995 monster movie ""Grim"" clearly doesn't know how to pace his films.  "
0,The movie is terribly boring in places.  
0,The lighting is awful.  
0,The film looks cheap and bland.  
0,One of the most disappointing aspects is the lack of notable gore.  
0,This convention never worked well in the past and certainly doesn't work here.  
0,The visual effects were AWFUL.  
0,The CG opening sequence in space looked like it could have been created on Microsoft Slideshow for God's sake!  
0,"The ""explosion"" of the Gas tanks at the end was just as awful.  "
1,Okay I like to consider myself a fair critic so I'll give credit where credit's due--the creature effects were actually pretty cool.  
1,Gotta love those close-ups of slimy drooling teeth!  
0,"To sum the film up ""Breeders"" is a terrible cheaply made horror movie that should be avoided like the Ebola virus.  "
0,Not recommended.  
0,He is almost unbearable to watch on screen he has little to no charisma and terrible comedic timing.  
0,Aside from it's terrible lead this film has loads of other debits.  
0,I understand that it's supposed to be a cheap popcorn comedy but that doesn't mean that it has to completely insult our intelligence and have writing so incredibly hackneyed that it borders on offensive.  
0,Lewis Black's considerable talent is wasted here too as he is at his most incendiary when he is unrestrained which the PG-13 rating certainly won't allow.  
1,The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim).  
0,With the originality and freshness of the first movie now spent this remake had little else to offer.  
0,The budget was evidently very limited.  
0,This was reflected not only in the cast but also in the below-par script which borrowed much from the earlier classic.  
0,However here there was no decent acting action or location work to balance things up.  
0,Filmiing was less expansive.  
0,It failed to convey the broad sweep of landscapes that were a great part of the original.  
0,Generally; it just lacked imagination.  
0,Not recommended.  
0,Is it possible for a movie to get any worse than this?  
0,There is no plot here to keep you going in the first place.  
0,Even when the women finally show up there is no sign of improvement; the most expected things happen and by the time the film is over you might be far asleep.  
0,Beware: this is not a trashy cult movie this is trash -period!  
0,I can't believe there's even a sequel to this!  
0,Which is precisely why I am giving it such a bad review!  
1,Being a 90's child I truly enjoyed this show and I can proudly say that I enjoyed it big time and even more than the classical WB cartoons.  
1,"But ""Tiny Toons"" kept the 90's vibe and delivered one of the most popular funny and underrated cartoons ever created.  "
1,The memories are murky but I can only say that I enjoyed every single episode and product related to the show.  
1,Easily none other cartoon made me laugh in a tender way (before getting into dark sitcoms oriented for teenagers).  
1,The characters were all funny and had the peculiarity of not having a true lead character.  
1,Every single character was hilarious and deserved to be called a lead.  
0,Every element of this story was so over the top excessively phony and contrived that it was painful to sit through.  
0,Her lines seem to have been WRITTEN by a fifteen year old though they are trying oh so so hard to sound like how a fifteen year old would really um you know well... talk.  
1,Perabo has a nice energy level and is obviously very comfortable in front of a camera.  
0,There is simply no excuse for something this poorly done.  
0,I saw this movie and I thought this is a stupid movie.  
0,What is even more stupid is that who had thought an idea that there should be a volcano in Los Angeles?  
0,To be honest with you this is unbelievable nonsense and very foolish.  
0,In conclusion I will not bother with this movie because a volcano in Los Angeles is nothing but nonsense.  
0,The story line is just awful!  
0,It's just painful!  
0,And the accents are absolutely abysmal!  
0,There's also enough hypocrisy in this film to make me vomit.  
0,Don't waste your time watching this rubbish non-researched film.  
1,I believe that Pitch Black was done well.  
1,The characters are interesting and you want to find out more about them the longer the movie goes on and I think people will be surprised by who does and doesn't make it.  
1,Go watch it!  
0,Omit watching this.  
1,VERY funny!  
0,My rating: just 3 out of 10.  
1,The characters are interesting and you really care for them.  
1,An instant classic with a great soundtrack and a catchy song during the ending credits.  
1,Don't miss it.  
1,This is a masterful piece of film-making with many themes simmering and occasionally boiling over in this warts and all study of the poet's bohemian self-indulgent wartime years that span the aerial bombardments of London and the outward tranquillity of a Welsh coastal retreat - the borderlines between friendship lust and love dedication to art and experience versus practical concerns jealousy rivalry cowardice and egotism versus heroism and self-sacrifice and more.  
1,A mature subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to though perhaps under direction this time as the other characters themselves often mention it).  
